(i, hn[i], current_templature, outcome, outcome_templature) = (239, 12811, 114.866, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (240, 87276, 561.6560000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (241, 35798, 252.788, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (242, 84852, 547.1120000000001, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (243, 98494, 628.964, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (244, 5653, 71.918, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (245, 96951, 619.706, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (246, 33339, 238.034, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (247, 58030, 386.18, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (248, 99380, 634.28, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (249, 52345, 352.07, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (250, 27251, 201.506, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (251, 37098, 260.58799999999997, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (252, 5307, 69.842, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (253, 73593, 479.558, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (254, 23748, 180.488, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (255, 2210, 51.26, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (256, 10690, 102.14, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (257, 53924, 361.544, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (258, 3869, 61.214, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (259, 82939, 535.634, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (260, 12939, 115.634, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (261, 50675, 342.05, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (262, 23823, 180.93800000000002, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (263, 63321, 417.926, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (264, 92791, 594.746, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (265, 622, 41.732, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (266, 207, 39.242, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (267, 5421, 70.52600000000001, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (268, 75015, 488.09000000000003, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (269, 91918, 589.508, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (270, 98518, 629.1080000000001, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (271, 43307, 297.842, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (272, 97061, 620.366, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (273, 71863, 469.178, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (274, 68876, 451.25600000000003, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (275, 97714, 624.284, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (276, 38930, 271.58000000000004, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (277, 53629, 359.774, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (278, 27261, 201.566, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (279, 60023, 398.13800000000003, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (280, 19093, 152.558, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (281, 59776, 396.656, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (282, 23851, 181.106, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (283, 2838, 55.028, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (284, 23712, 180.272, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (285, 68439, 448.634, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (286, 98088, 626.528, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (287, 10656, 101.936, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (288, 47390, 322.34000000000003, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (289, 89902, 577.412, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (290, 44381, 304.286, 266, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (291, 79797, 516.7819999999999, 266, 40.124)
